"name","x","y","endX","endY","area","identifier","pos"
"Harold Moukoudi","34.125","21.692","37.905","26.792","735.39501","0","DC"
"Mathieu Debuchy","44.205","6.528","56.7525","10.472","771.10215","0","DR"
"Mama Baldé","67.41","16.864","68.67","19.584","1671.72747","0","AMC"
"Didier Ndong","45.465","44.268","47.88","42.772","1048.84101","0","MC"
"Stéphane Ruffier","8.925","32.776","30.975","33.422","147.83727","0","GK"
"Loic Perrin","33.495","40.12","40.845","38.896","688.59945","0","DC"
"Fouad Chafik","44.415","6.8","54.9675","15.538","1292.46138","0","DR"
"Yann M'Vila","41.2125","38.896","46.2","32.572","819.55419","0","MC"
"Wahbi Khazri","72.6075","32.742","76.755","32.232","1324.91268","0","AMC"
"Romain Amalfitano","48.51","28.628","54.495","28.016","1134.903","0","Sub"
"Ryad Boudebouz","64.05","20.468","67.83","25.976","1311.75009","0","Sub"
"Denis Bouanga","66.255","49.64","68.5125","45.628","1872.96837","0","FW"
"Rúnar Alex Rúnarsson","8.61","33.796","28.35","35.428","150.02568","0","GK"
"Zaydou Youssouf","48.195","29.784","50.085","29.682","925.41897","0","Sub"
"Bryan Soumaré","60.9","21.148","61.74","25.84","946.89966","0","Sub"
"Arnaud Nordin","65.8875","47.974","65.1","41.99","1795.59219","0","AML"
"Enzo Loiodice","55.125","43.52","58.065","43.928","767.72493","0","MC"
"Robert Beric","71.085","28.22","71.925","29.512","1289.57682","0","Sub"
"Valentin Rongier","57.645","25.092","59.1675","27.438","1165.59429","0","DMC"
"Andrei Girotto","34.86","21.42","43.365","23.12","692.53716","0","DC"
"Fabio","48.1425","12.342","55.965","20.468","1888.62639","1","DL"
"Molla Wagué","30.8175","38.726","37.485","39.1","884.68527","0","DC"
"Nicolas Pallois","36.6975","46.614","45.78","44.132","667.97199","0","DC"
"Abdoulaye Touré","52.5","32.13","56.0175","32.946","1025.25759","0","Sub"
"Domagoj Bradaric","59.22","62.9","59.85","54.196","559.70103","1","DL"
"Victor Osimhen","74.6025","30.906","76.65","31.314","1458.51279","0","FW"
"Jonathan Bamba","67.935","50.592","70.035","47.328","1254.08388","0","ML"
"Charles Traoré","44.1","61.948","55.44","56.576","593.24118","1","DL"
"Benjamin André","54.5475","22.916","57.54","22.032","1089.39978","0","MC"
"Tiago Djaló","37.1175","39.542","44.5725","30.94","760.26006","0","DC"
"José Fonte","38.22","23.324","45.78","26.452","576.79419","0","DC"
"Boubakary Soumaré","55.965","42.024","58.17","40.392","795.38529","0","DMC"
"Lucas Lima","58.59","62.356","62.895","54.536","804.87792","1","DL"
"Mike Maignan","9.765","32.096","37.065","27.71","179.214","0","GK"
"Kalifa Coulibaly","72.5025","33.966","75.39","35.088","1483.61346","0","Sub"
"Alban Lafont","10.5","33.184","35.07","33.626","181.45953","0","GK"
"Jonathan Ikoné","70.665","25.704","71.295","28.254","1310.26854","0","MR"
"Mehmet Zeki Çelik","57.54","5.984","61.32","12.036","614.2185","0","DR"
"Samuel Moutoussamy","57.015","56.984","61.845","50.388","1423.90521","0","Sub"
"Yusuf Yazici","70.98","23.324","73.5","29.92","1262.39484","0","Sub"
"Abdoul Kader Bamba","65.94","22.168","65.73","28.696","2016.92148","0","ML"
"Reinildo","56.91","62.56","56.7","57.188","553.1358","1","DL"
"Boulaye Dia","67.41","30.532","69.6675","32.232","1485.30564","0","Sub"
"Jacques-Alaixys Romao","43.68","31.144","47.04","33.796","1056.33801","0","DMC"
"Yunis Abdelhamid","33.075","47.804","40.425","47.328","501.95271","0","DC"
"Predrag Rajkovic","11.865","32.776","27.4575","33.524","206.8101","0","GK"
"Axel Disasi","33.075","18.768","39.585","27.676","585.43716","0","DC"
"Duje Caleta-Car","35.49","47.804","43.26","43.724","651.88914","0","DC"
"Thomas Foket","44.625","4.148","48.195","12.172","615.97494","0","DR"
"Tristan Dingome","62.9475","36.006","65.8875","36.584","1353.41199","0","AMC"
"Dimitri Payet","70.35","48.484","75.285","38.896","1670.33517","0","AML"
"Jordan Amavi","46.935","62.356","52.3425","57.392","748.8075","1","DL"
"Valère Germain","64.3125","15.674","65.4675","18.802","1776.61407","0","AMR"
"Kevin Strootman","48.3","36.686","55.545","37.094","1144.27425","0","Sub"
"Hiroki Sakai","49.665","6.392","56.91","11.968","1294.87113","0","DR"
"Nemanja Radonjic","72.66","43.52","74.13","38.556","1941.26604","0","Sub"
"Xavier Chavalerin","49.875","51.544","58.065","48.212","1212.34344","0","MC"
"Moussa Doumbia","68.355","55.624","69.09","52.36","1400.73591","0","Sub"
"Hassane Kamara","46.41","61.948","49.6125","55.012","1172.28804","0","AML"
"Steve Mandanda","9.975","32.98","30.45","33.932","153.23511","0","GK"
"Boubacar Kamara","39.585","21.488","46.41","25.636","944.43279","0","DMC"
"Remi Oudin","62.055","18.972","66.99","25.976","1790.77983","0","Sub"
"Morgan Sanson","62.79","37.264","64.575","34.34","1518.79581","0","AMC"
"Luiz Gustavo","45.045","29.852","47.355","24.888","777.52815","0","Sub"
"Bouna Sarr","59.535","5.95","60.375","10.132","1010.29572","0","DR"
"Nathanael Mbuku","64.785","44.37","67.0425","42.636","1406.89773","0","Sub"
"Darío Benedetto","66.2025","34.068","68.3025","35.326","1274.75775","0","FW"
"Suk Hyun-Jun","72.03","40.086","79.275","37.264","760.02087","0","Sub"
"Ghislain Konan","46.62","63.784","55.86","59.024","532.46193","1","DL"
"Gaëtan Charbonnier","64.575","29.648","67.305","30.872","1766.54667","0","AMC"
"Ibrahima Diallo","44.625","34.544","46.9875","33.932","847.75005","0","MC"
"Samuel Grandsir","66.57","50.286","69.195","46.614","2050.73652","0","AML"
"Romain Perraud","46.2","63.852","54.0225","58.072","587.80764","1","DL"
"Denys Bain","27.51","48.416","32.97","44.132","577.86519","0","DC"
"Jean-Charles Castelletto","32.655","21.148","41.1075","24.31","651.3108","0","DC"
"Gautier Larsonneur","7.875","33.32","26.46","33.048","134.85318","0","GK"
"Matthieu Dossevi","72.87","9.316","75.18","18.02","1392.60345","0","AMC"
"Kelvin Amian","44.73","10.812","55.86","13.668","1019.45634","0","Sub"
"Bafode Diakite","34.5975","36.142","41.8425","34.408","1098.61752","0","DR"
"Agustín Rogel","33.705","40.052","42.5775","35.938","768.42465","0","DC"
"Baptiste Reynet","10.0275","33.388","42.735","36.618","238.61166","0","GK"
"Efthymios Koulouris","66.255","32.878","66.99","32.742","1415.15871","0","Sub"
"Ibrahim Sangaré","47.145","29.716","56.7","30.056","1153.81329","0","DMC"
"Jean-Victor Makengo","58.38","46.308","61.215","45.39","1075.06266","0","MC"
"Max-Alain Gradel","70.14","52.564","71.925","49.028","1578.05781","0","FW"
"Julien Faussurier","47.145","4.556","61.4775","11.424","830.97819","0","DR"
"Issiaga Sylla","47.67","61.744","57.33","55.828","624.15381","1","DL"
"William Vainqueur","47.25","42.84","48.72","40.12","1073.41332","0","DMC"
"Haris Belkebla","46.2","32.708","49.14","30.668","1212.07212","0","DMC"
"Mathias Autret","64.785","29.784","70.245","31.926","1658.70768","0","Sub"
"Yoann Court","63.525","18.19","68.5125","24.208","1835.10495","0","Sub"
"Aaron Leya Iseka","67.83","33.796","68.88","33.048","1168.18254","0","Sub"
"Cristian Battocchio","48.615","31.416","57.33","32.3","1335.41562","0","DMC"
"Steven Moreira","46.41","6.8","59.01","11.628","1152.82797","0","DR"
"Quentin Boisgard","58.275","43.928","59.85","39.372","1661.7993","0","AMC"
"Andy Delort","72.24","37.944","75.6","35.428","1497.67926","0","FW"
"Hilton","33.495","36.856","42.84","34.272","683.85492","0","DC"
"Romain Salin","9.66","34.34","30.6075","35.19","124.38951","0","GK"
"Jeremy Gelin","34.5975","34.612","41.055","30.702","699.97347","0","Sub"
"M'Baye Niang","63.105","37.706","65.3625","37.808","1447.27086","0","FW"
"Pedro Mendes","36.54","14.416","44.835","22.1","658.07952","0","DC"
"Clément Grenier","50.505","46.478","59.3775","43.078","1165.55859","0","AMC"
"Jordan Ferri","56.91","27.2","59.64","28.084","1354.41516","0","MC"
"Arnaud Souquet","53.7075","5.032","60.06","9.792","605.9718","0","DC"
"James Lea Siliki","53.76","42.16","55.965","40.188","1236.12678","0","Sub"
"Daniel Congré","38.745","53.992","47.355","48.96","968.15901","0","DC"
"Hamari Traoré","45.36","5.78","52.605","12.24","589.38201","0","DR"
"Damien Le Tallec","43.575","23.052","50.61","25.84","1283.772","0","DC"
"Faitout Maouassa","45.99","62.764","56.91","58.242","659.78955","1","DL"
"Eduardo Camavinga","46.305","33.116","46.83","34.068","1069.80405","0","MC"
"Gaetan Laborde","71.19","26.724","73.185","28.288","1580.91024","0","FW"
"Flavien Tait","64.3125","57.562","64.155","53.72","982.57467","0","Sub"
"Joris Chotard","46.8825","33.354","52.1325","32.028","1094.15859","0","Sub"
"Mihailo Ristic","57.855","60.69","60.48","55.42","933.08733","0","ML"
"Damien Da Silva","33.6","18.836","40.5825","23.868","571.82832","0","DC"
"Jérémy Morel","37.905","54.332","45.15","49.98","702.85446","0","DC"
"Jordan Siebatcheu","64.89","33.796","66.99","33.354","975.12051","0","FW"
"Sacha Boey","46.515","13.804","47.46","18.36","1922.53425","0","Sub"
"Keagan Dolly","69.5625","40.732","73.2375","38.012","1123.32192","0","AMC"
"Nicolas Isimat-Mirin","33.6","35.224","42.21","35.088","860.96619","0","DC"
"Yaya Sanogo","66.57","33.524","68.67","33.184","1271.51262","0","FW"
"Maxime Lopez","59.5875","21.896","62.265","24.582","1406.67639","0","Sub"
"Lucas Perrin","30.9225","18.802","38.1675","26.418","803.44635","0","DC"
"Wesley Said","62.685","39.474","64.785","35.7","1626.87042","0","Sub"
"Mauro Icardi","70.455","33.184","73.71","33.66","1048.09131","0","FWR"
"Idrissa Gueye","54.915","31.552","57.015","32.98","983.53857","0","MC"
"Presnel Kimpembe","39.27","46.784","44.94","43.86","599.32089","0","DC"
"Neymar","68.775","47.192","72.45","44.098","1001.385","0","FW"
"Keylor Navas","8.085","33.932","24.255","33.932","131.33673","0","GK"
"Luiz Araújo","70.77","23.052","70.56","26.18","1512.14133","0","Sub"
"Gabriel Magalhães","40.425","48.756","48.195","44.948","646.96611","0","DC"
"Xeka","55.65","30.974","57.645","30.872","971.8254","0","Sub"
"Colin Dagba","55.965","6.324","51.03","12.852","869.52705","0","Sub"
"Loïc Rémy","71.2425","37.468","71.5575","35.836","1095.10464","0","FW"
"Adam Ounas","66.885","15.028","66.045","21.692","1397.4051","0","FWR"
"Marçal","47.25","59.262","55.8075","52.734","683.9763","0","DC"
"Martin Terrier","64.155","49.368","65.6775","44.098","1406.51931","0","Sub"
"Walter Benítez","7.035","33.796","21.63","34","112.87983","0","GK"
"Hichem Boudaoui","62.895","8.772","63.42","13.736","936.6966","0","FWR"
"Kasper Dolberg","66.36","36.448","66.57","36.312","1345.10817","0","FW"
"Pierre Lees-Melou","56.175","45.084","57.9075","41.344","1412.81679","0","MC"
"Stanley N'Soki","42","56.848","45.675","53.176","692.18016","0","Sub"
"Arnaud Lusamba","58.17","26.792","59.325","28.39","1254.4623","0","Sub"
"Rafael","40.95","22.202","50.925","21.556","2242.59189","0","GK"
"Imran Louza","60.795","32.368","63.525","32.232","1488.32943","0","MC"
"Rene Krhin","34.125","43.656","39.8475","37.502","683.49792","0","Sub"
"Irvin Cardona","70.14","38.692","72.555","35.836","1732.56384","0","FW"
"Hianga'a M'Bock","41.265","32.844","45.3075","27.472","714.68544","0","Sub"
"Moses Simon","75.495","59.194","75.5475","54.298","1043.06475","0","FW"
"Dennis Appiah","43.68","5.44","51.765","9.316","730.88967","0","DR"
"Thomas Basila","41.37","7.48","48.615","16.252","906.09456","0","Sub"
"Ludovic Blas","64.575","22.508","66.885","24.956","1367.22789","0","FW"
"Alexandre Mendy","68.04","32.98","68.985","31.96","1400.70735","0","Sub"
"Hugo Magnetti","49.56","29.036","57.645","24.956","1323.83097","0","Sub"
"Wissam Ben Yedder","71.19","29.512","75.495","31.212","1302.83223","0","FW"
"Aleksandr Golovin","63.42","44.404","66.36","39.712","1440.79488","0","MR"
"Benoit Badiashile","38.85","50.116","45.4125","46.308","541.90101","0","DC"
"Islam Slimani","71.4","36.108","74.025","35.496","1231.08594","0","FW"
"Enock Kwateng","45.885","5.032","51.555","11.356","698.45979","0","DR"
"Tiemoué Bakayoko","55.755","28.186","58.2225","29.24","1093.90155","0","MC"
"Jonathan Cafú","58.6425","4.998","55.9125","11.186","668.61102","0","Sub"
"Keita Baldé","69.4575","51.442","70.6125","47.804","1196.74611","0","ML"
"Yacine Adli","60.795","42.636","61.005","39.984","1009.21758","0","Sub"
"John Boye","32.13","42.908","40.005","38.08","629.88009","0","DC"
"Matthieu Udol","43.89","62.56","53.235","55.556","529.64163","1","DL"
"Mathieu Cafaro","71.61","39.916","77.595","35.836","1914.4839","0","AML"
"Anastasios Donis","73.3425","19.686","75.075","26.826","1074.23799","0","AMR"
"Dereck Kutesa","69.93","26.248","69.09","28.56","1738.59","0","Sub"
"Thierry Ambrose","71.295","46.682","72.975","43.86","1202.34387","0","FWL"
"Ambroise Oyongo","56.28","63.036","61.635","57.188","628.55562","0","DML"
"Timothée Kolodziejczak","39.27","58.684","45.675","51.612","744.11295","1","DL"
"Mahdi Camara","47.145","33.116","47.67","32.368","1076.89764","0","DMC"
"Gerónimo Rulli","10.5525","33.728","31.0275","34.544","182.59479","0","GK"
"Téji Savanier","55.65","32.368","61.005","33.796","1293.83226","0","MC"
"Franck Honorat","63.105","6.8","68.565","12.036","867.18513","0","MR"
"Florent Mollet","64.89","37.128","67.83","33.932","1558.96902","0","AMC"
"Junior Sambia","60.7425","7.412","63.5775","15.164","1423.16979","0","Sub"
"Mohamed Simakan","43.575","11.016","49.035","15.164","1188.16026","0","DR"
"Anthony Caci","45.57","62.152","55.23","52.564","919.55703","1","DL"
"Aurélien Chedjou","35.49","31.008","46.935","35.7","872.32236","0","DC"
"Lebo Mothiba","72.765","21.012","71.7675","22.372","1048.46616","0","FW"
"John Stiven Mendoza","66.2025","53.482","67.9875","51.136","1187.34987","0","Sub"
"Ibrahima Sissoko","56.28","22.1","59.43","20.808","1356.40365","0","Sub"
"Gaël Kakuta","65.8875","28.73","68.775","31.484","1384.38531","0","AMC"
"Bakaye Dibassy","37.2225","49.912","45.15","49.776","820.03971","1","DL"
"Mathieu Bodmer","56.28","38.828","60.9525","33.932","984.58815","0","Sub"
"Casimir Ninga","69.2475","55.488","71.8725","50.626","1010.8812","0","ML"
"Lamine Fomba","55.23","27.336","58.485","29.172","1381.00809","0","DMC"
"Kévin Denkey","66.5175","34.986","68.04","34.476","1147.94064","0","Sub"
"Abdoulaye Bamba","43.68","7.548","56.805","11.016","892.68564","0","DR"
"Ismael Traoré","34.23","20.876","44.1","21.42","550.48329","0","DC"
"Sada Thioub","66.675","15.028","68.88","18.224","1649.25789","0","MR"
"Lucas Deaux","46.83","35.02","54.705","35.02","1262.88036","0","Sub"
"Joris Gnagnon","34.02","43.724","40.32","36.72","694.9719","0","DC"
"Adrien Hunou","65.625","41.208","65.31","39.644","1701.31563","0","Sub"
"Matheus Pereira","64.365","29.852","68.46","34.68","1618.24173","0","Sub"
"Romain Del Castillo","66.78","21.896","66.57","26.044","1626.21354","0","FW"
"Édouard Mendy","9.765","32.98","29.7675","34.068","134.6961","0","GK"
"Raphinha","68.145","13.226","71.82","20.774","1605.75744","0","MR"
"Wesley Lautoa","37.065","41.344","43.05","40.596","863.95071","0","MC"
"Mounir Chouiar","65.415","49.368","67.41","43.52","1582.90587","0","AML"
"Alfred Gomis","9.555","32.98","29.925","33.524","157.31562","0","GK"
"Florent Balmont","48.09","19.584","56.385","20.06","891.429","0","Sub"
"Maxence Caqueret","55.02","29.886","58.065","31.892","1120.80507","0","MC"
"Otávio","46.83","35.496","48.405","33.932","841.99164","0","DMC"
"Laurent Koscielny","32.55","25.772","42.21","28.084","610.07373","0","DC"
"Youssouf Sabaly","49.665","16.32","55.4925","22.644","2181.47706","1","DL"
"Vukasin Jovanovic","38.325","17.544","43.785","24.276","862.27638","0","Sub"
"Youssef Aït Bennasser","50.19","35.292","55.5975","33.32","740.99991","0","DMC"
"Tanguy Nianzou","43.155","22.1","47.355","29.852","730.66119","0","Sub"
"Layvin Kurzawa","55.8075","60.758","57.855","56.168","663.50592","0","Sub"
"Adrien Silva","54.285","31.144","57.75","32.504","1010.94546","0","MC"
"Stevan Jovetic","69.615","46.274","75.6","41.82","826.64064","0","Sub"
"Sidy Sarr","46.41","34.204","55.965","35.836","1103.65122","0","DMC"
"Kouadio Kone","51.135","26.724","56.6475","27.472","1062.82827","0","MC"
"Mehdi Abeid","55.44","33.796","58.38","33.524","1200.64098","0","MC"
"Sergi Palencia","57.1725","5.066","59.2725","10.744","549.68718","0","DR"
"Benjamin Bourigeaud","55.335","27.676","60.06","29.58","1542.11505","0","ML"
"Lois Diony","74.0775","26.792","75.7575","27.88","1050.36183","0","FW"
"Wesley Fofana","33.6","20.23","39.375","24.276","886.4667","0","DC"
"Paul Lasne","56.595","41.752","58.275","37.468","1446.3498","0","AMR"
"Fousseni Diabaté","66.15","38.318","67.41","36.278","2000.40309","0","AML"
"Arturo Calabresi","45.36","6.596","55.86","10.608","835.92621","0","DR"
"Quentin Cornette","73.7625","43.282","77.5425","34.442","1725.5238","0","Sub"
"Jérémy Pied","52.7625","7.038","61.7925","11.628","597.98928","0","DR"
"Jhonder Cádiz","69.3","38.556","71.82","35.496","1402.09608","0","Sub"
"Stephy Mavididi","65.835","46.58","64.68","45.39","1548.35184","0","AMC"
"Angelo Fulgini","61.53","23.528","65.1","25.092","1409.90724","0","MC"
"Youcef Atal","62.37","10.608","63.105","16.048","1933.82259","0","DR"
"Racine Coly","43.995","59.636","46.8825","55.42","436.7181","0","Sub"
"Alexis Claude Maurice","64.47","50.048","63.105","46.58","1497.2223","0","FWL"
"Stéphane Bahoken","68.775","29.478","69.195","30.192","1254.34449","0","FW"
"Ludovic Baal","46.2","63.24","55.125","56.032","742.55286","0","Sub"
"Andy Pelmard","32.655","23.664","36.12","30.872","758.60715","0","DC"
"Ibrahim Cisse","42.105","10.608","48.1425","15.266","664.22349","0","DR"
"Khéphren Thuram","46.41","36.006","46.4625","37.366","943.75449","0","MC"
"Álvaro González","35.91","24.48","43.68","28.356","876.59565","0","DC"
"Moussa Konaté","65.52","36.38","65.31","37.502","937.94253","0","FW"
"Abdallah Ndour","48.405","64.396","57.33","58.004","557.03067","0","Sub"
"Mathieu Goncalves","33.6","52.904","40.8975","47.43","400.63254","0","DC"
"Eric Maxim Choupo-Moting","76.0725","41.99","75.495","39.78","1108.53498","0","Sub"
"Ngonda Muzinga","46.305","63.24","54.705","57.052","545.36391","1","DL"
"Loïck Landre","34.545","22.712","42.84","26.656","640.40088","0","DC"
"Adama Soumaoro","36.225","33.524","42.525","33.932","618.83808","0","DC"
"Nicolas Cozza","32.8125","54.536","38.955","47.532","361.96587","0","DC"
"Benjamin Corgnet","60.795","24.412","66.675","31.518","907.4226","0","Sub"
"Brendan Chardonnet","33.495","27.812","42","31.688","904.59159","0","DC"
"Nayef Aguerd","31.7625","50.184","41.0025","45.764","496.40136","0","DC"
"Jordan Marié","49.5075","24.752","56.805","22.542","1015.16877","0","Sub"
"Hamza Mendyl","47.145","63.444","55.3875","58.072","785.39643","0","DML"
"Marshall Munetsi","45.8325","27.948","48.72","29.206","1247.91849","0","DMC"
"Gautier Lloris","31.29","45.968","37.695","41.14","321.32856","0","DC"
"Cristian Benavente","63.0525","38.386","64.365","37.468","1027.04259","0","Sub"
"Yohan Cabaye","48.72","24.48","57.855","27.064","973.58541","0","MC"
"Moreto Cassamã","46.305","37.468","48.7725","33.354","1108.72062","0","MC"
"Jean-Kevin Duverne","34.4925","50.218","42.525","45.968","800.94021","0","DC"
"Gabriel Silva","42.945","59.296","51.45","52.292","716.13486","0","Sub"
"François Kamano","61.53","8.364","58.38","14.28","937.87113","0","DMR"
"Ander Herrera","55.965","15.232","55.965","18.632","939.88104","0","MC"
"Charles Abi","67.8825","32.81","69.93","33.286","1001.75628","0","Sub"
"Danilo","41.055","23.324","48.615","24.684","1315.96626","0","DR"
"Jessy Moulin","9.66","31.62","32.235","31.688","113.02977","0","GK"
"William Saliba","34.86","44.948","40.53","39.1","1139.55828","0","DC"
"Lucas Dias","7.8225","33.456","56.9625","32.232","124.82862","0","GK"
"Gaëtan Belaud","45.15","7.004","50.82","13.872","784.11123","0","DR"
"Manuel Cabit","44.0475","63.07","54.6525","58.956","487.89762","1","DL"
"Rayan Cherki","69.51","30.498","69.5625","31.416","1431.64854","0","Sub"
"Yann Gboho","71.295","42.636","69.5625","39.746","1314.65607","0","Sub"
"Riza Durmisi","54.705","63.784","55.44","56.576","304.74591","0","DML"
"Ruben Gabrielsen","31.92","22.848","41.265","25.976","679.03899","0","DC"
"Bruno Guimarães","49.455","41.752","49.56","40.868","1109.22399","0","MC"
"Rubén Pardo","57.645","39.984","63","40.392","881.15811","0","AMC"
"Souleyman Doumbia","49.245","62.832","59.3775","57.8","676.28295","1","DL"
"Renaud Emond","59.535","33.354","62.2125","33.32","1138.09815","0","FW"
"Nicholas Opoku","38.115","20.264","46.935","24.344","1103.31564","0","DMR"
"Nolan Roux","71.3475","33.558","71.9775","34.068","1079.77863","0","FW"
"Dylan Bronn","32.55","21.42","41.685","28.084","432.83751","0","DC"
"Steven Nzonzi","44.73","35.428","49.455","34.204","834.07695","0","MC"
"El Bilal Touré","72.555","37.91","71.7675","38.182","794.6463","0","FW"
"Majeed Waris","66.885","11.492","67.5675","16.864","982.87812","0","Sub"
"Lovre Kalinic","9.03","35.768","52.8675","45.322","151.29303","0","GK"
"Percy Ruiz","36.225","5.644","47.67","10.268","558.04455","0","DR"
"Yassine Benzia","58.6425","38.964","58.6425","38.386","699.95919","0","MC"
"Mitchel Bakker","51.24","57.596","50.4","53.38","548.16636","1","DL"
"Radja Nainggolan","62.79","28.016","66.885","28.9","1273.34046","0","AMC"
"Artur Ionita","56.175","43.044","57.855","40.8","1461.26169","0","MC"
"Sandro Tonali","52.71","30.94","60.795","31.076","1379.26593","0","MC"
"Stefano Sabelli","45.15","6.188","58.38","12.24","752.78091","0","DR"
"Andrea Cistana","32.76","22.712","40.95","23.256","737.28711","0","DC"
"Nahitan Nández","60.585","12.444","64.47","16.116","1285.47489","0","ML"
"Charalampos Lykogiannis","46.41","61.404","58.59","52.496","713.87148","0","DC"
"Luca Ceppitelli","32.025","27.2","45.255","29.444","815.51295","0","DC"
"Valter Birsa","57.0675","33.218","61.005","32.776","1187.73186","0","Sub"
"Nikolas Spalek","68.6175","27.268","70.9275","29.784","1786.13883","0","ML"
"Ragnar Klavan","32.655","47.804","40.845","42.636","653.37069","0","DC"
"Bruno Martella","44.94","61.608","56.91","53.924","618.54534","0","Sub"
"Jhon Chancellor","29.505","44.472","36.645","40.256","782.4726","0","DC"
"Alfredo Donnarumma","68.88","34","71.085","31.28","1168.77516","0","Sub"
"Jesse Joronen","6.93","34","25.1475","31.994","129.75165","0","GK"
"Dimitri Bisoli","59.5875","9.792","66.36","12.036","1174.9584","0","MC"
"Daniele Dessena","52.92","38.284","58.8","36.72","1272.70857","0","MC"
"Florian Aye","67.3575","30.498","67.515","28.084","1682.93013","0","FW"
"Alberto Cerri","68.25","33.728","71.715","32.3","1017.43215","0","FW"
"Lucas Castro","62.37","33.728","66.9375","33.082","1400.82516","0","MC"
"Jaromir Zmrhal","69.72","38.012","71.925","38.08","1601.9661","0","MR"
"Daniele Gastaldello","30.66","37.06","43.575","34.544","750.14625","0","DC"
"Daniele Ragatzu","70.665","31.654","70.875","32.844","1380.47973","0","AMC"
"Dusan Vlahovic","69.3","31.042","69.825","31.688","1333.37001","0","Sub"
"Milan Badelj","50.82","34.476","57.33","34.816","1021.28418","0","MC"
"Nikola Milenkovic","36.645","16.762","43.785","20.366","728.74053","0","DC"
"Pol Lirola","59.85","8.5","65.415","16.388","1925.51163","0","Sub"
"Riccardo Sottil","73.605","16.388","72.45","19.924","1303.62477","0","Sub"
"Bartlomiej Dragowski","8.715","33.728","27.405","34.204","163.49529","0","GK"
"Kostas Manolas","37.695","24.072","43.995","28.016","624.60006","0","DC"
"Lorenzo Venuti","46.935","10.744","54.81","19.38","1875.97431","0","DMR"
"Germán Pezzella","33.18","33.966","42.84","32.776","666.32622","0","DC"
"Giovanni Di Lorenzo","48.615","11.016","55.755","16.592","1763.25513","0","DR"
"Federico Chiesa","71.61","25.908","74.235","30.294","1826.89752","0","FWL"
"Lorenzo Insigne","70.56","55.556","70.875","50.184","884.38539","0","FWL"
"Mário Rui","56.595","62.356","59.115","55.556","568.17621","1","DL"
"Allan","56.49","25.092","58.485","26.18","1195.00038","0","Sub"
"Piotr Zielinski","62.265","45.22","65.8875","44.54","1011.94506","0","MC"
"José Callejón","67.305","9.316","67.8825","16.728","897.77646","0","FWR"
"Fabián Ruiz","59.325","24.14","61.74","26.044","1245.19101","0","MC"
"Erick Pulgar","56.175","28.084","60.48","30.668","1261.34883","0","MC"
"Kalidou Koulibaly","39.795","45.696","47.565","44.744","767.12874","0","DC"
"Dries Mertens","74.8125","39.032","76.545","35.836","1256.09379","0","FW"
"Gaetano Castrovilli","63.945","47.328","68.04","45.56","1481.17872","0","MC"
"Alex Meret","7.455","34.408","20.58","34.952","120.90519","0","GK"
"Kevin-Prince Boateng","68.3025","34.476","69.4575","35.53","953.8326","0","FW"
"Faouzi Ghoulam","61.53","63.24","61.32","54.944","411.0141","0","Sub"
"Eljif Elmas","63.42","45.628","62.475","44.88","1123.57896","0","Sub"
"Marco Benassi","65.1","17.612","68.145","21.216","1446.86388","0","Sub"
"Franck Ribéry","68.88","49.844","70.56","47.396","1064.6454","0","FW"
"Elseid Hysaj","49.14","17.612","54.915","23.936","2082.21321","0","DR"
"Gennaro Tutino","65.73","36.108","66.36","34.884","782.87601","0","Sub"
"Miguel Veloso","56.7","40.596","61.005","38.692","1135.16361","0","MC"
"Amir Rrahmani","38.535","16.592","47.67","21.42","819.28287","0","DC"
"Marco Silvestri","5.565","33.116","55.5975","33.932","140.94003","0","GK"
"Marash Kumbulla","36.33","41.276","45.255","46.104","820.37172","0","DC"
"Andrea Poli","56.7","32.3","60.27","31.552","1285.4499","0","Sub"
"Pawel Dawidowicz","38.535","48.45","45.465","46.512","902.43888","0","DC"
"Darko Lazovic","62.685","62.356","65.94","55.352","966.99162","0","DML"
"Takehiro Tomiyasu","47.985","9.928","58.485","14.008","1124.8356","0","DR"
"Riccardo Orsolini","71.085","9.112","73.71","17","934.71525","0","Sub"
"Roberto Soriano","64.575","30.634","67.0425","30.94","1353.15495","0","AMC"
"Lukasz Skorupski","7.875","33.592","23.94","34.476","135.57075","0","GK"
"Rodrigo Palacio","72.555","40.12","73.71","36.788","1618.11678","0","FW"
"Valerio Verre","66.78","34.068","68.145","33.456","1287.43125","0","FW"
"Stefano Denswil","38.85","53.176","47.775","49.232","749.04312","1","DL"
"Mattia Zaccagni","67.41","52.088","70.77","49.572","1270.18458","0","Sub"
"Mitchell Dijks","48.93","62.56","58.905","57.188","745.40529","1","DL"
"Marco Faraoni","57.015","7.072","62.895","15.708","938.03178","0","DMR"
"Nicola Sansone","69.09","55.08","72.45","49.164","1119.8733","0","Sub"
"Salvatore Bocchetti","37.7475","52.904","46.305","50.592","707.51688","0","DC"
"Sofyan Amrabat","55.23","33.32","56.595","32.776","1047.16668","0","MC"
"Federico Santander","69.3","35.258","71.3475","34.952","1264.26552","0","Sub"
"Blerim Dzemaili","56.91","41.344","59.64","40.324","1164.08775","0","AMC"
"Koray Günter","35.385","41.106","44.52","44.302","744.24861","0","DC"
"Romelu Lukaku","72.24","29.036","73.6575","30.056","1174.37292","0","FW"
