"name","x","y","endX","endY","area","identifier","pos"
"Djibril Sow","55.755","33.524","58.3275","35.054","1288.83426","0","MC"
"Felix Uduokhai","29.82","49.436","35.805","43.316","657.36909","0","DC"
"Michael Lang","52.08","5.168","56.175","11.016","490.12887","0","DR"
"Christian Groß","36.33","42.568","43.68","39.984","819.7077","0","DC"
"Louis Schaub","65.0475","23.188","66.4125","29.716","1721.73246","0","AMC"
"Janik Haberer","55.335","22.032","55.545","24.276","1103.85114","0","MC"
"Roland Sallai","68.985","17.306","69.09","20.638","1188.99207","0","Sub"
"Marvin Plattenhardt","44.1","63.036","55.0725","56.066","594.91908","1","DL"
"Javairô Dilrosun","61.845","56.168","63.42","51.612","1405.53756","0","Sub"
"Suat Serdar","56.385","41.956","58.695","43.452","1196.9139","0","AML"
"Alessandro Schöpf","61.53","40.528","63.21","41.616","1617.49203","0","AMC"
"Thomas Delaney","45.99","38.216","48.6675","35.904","1165.08021","0","MC"
"Mahmoud Dahoud","50.4","38.284","54.1275","36.108","989.48262","0","Sub"
"Raphael Guerreiro","55.545","61.54","56.805","55.216","771.7626","0","DML"
"Joshua Mees","65.625","51.068","68.67","49.232","741.14628","0","Sub"
"Felix Kroos","45.6225","32.062","52.395","30.566","1060.67913","0","DMC"
"Jérôme Boateng","37.59","24.888","45.255","32.3","776.92125","0","DC"
"Matheus Cunha","68.46","39.712","71.085","37.74","1230.85389","0","Sub"
"Dominique Heintz","33.81","52.02","39.9","45.56","647.89431","0","DC"
"Lukas Kübler","40.32","11.016","47.0925","17.748","648.51192","0","DR"
"Robin Bormuth","27.8775","48.79","35.7525","43.214","397.79439","0","DC"
"Marcel Tisserand","36.645","41.616","46.725","36.856","1329.58224","0","DC"
"Pavao Pervan","8.3475","32.98","30.03","34","133.35378","0","GK"
"Kasim Adams","34.23","48.144","44.205","42.84","608.03526","0","DC"
"Robin Zentner","9.87","33.66","30.975","34.408","152.26764","0","GK"
"Jordan Torunarigha","33.915","48.212","40.005","43.248","636.66666","0","DC"
"Marius Wolf","60.9525","6.052","65.3625","13.022","1155.28056","0","AMR"
"Dedryck Boyata","33.2325","27.268","40.215","30.09","796.28136","0","DC"
"André Silva","72.03","35.36","72.45","36.72","1063.89927","0","FW"
"Raphael Framberger","43.26","4.794","55.9125","9.758","716.75247","0","DR"
"Jan Morávek","47.67","30.26","52.08","31.62","1136.20962","0","Sub"
"Ramy Bensebaini","46.5675","62.56","50.925","56.44","713.06823","0","Sub"
"Tobias Strobl","39.4275","33.422","43.9425","32.096","739.42911","0","DMC"
"Patrick Herrmann","69.72","12.376","71.61","19.448","1251.84549","0","AMR"
"Mark Uth","65.94","32.3","68.88","33.728","1302.7287","0","AMC"
"Ozan Kabak","34.125","17.748","40.95","23.732","691.58397","0","DC"
"Benjamin Goller","66.7275","32.436","70.035","30.532","1079.65011","0","Sub"
"Ken Reichel","43.9425","62.492","53.8125","56.814","660.60351","1","DL"
"Mitchell Weiser","52.5525","4.692","55.335","10.302","1047.73788","0","Sub"
"Paulinho","71.295","48.076","72.555","46.376","936.63234","0","Sub"
"Benjamin Hübner","33.6","50.864","41.895","45.526","596.65053","0","DC"
"Sargis Adamyan","70.0875","36.244","71.085","35.972","1447.75995","0","Sub"
"Kevin Mbabu","57.225","4.896","63.21","10.064","574.68432","0","DR"
"Dan-Axel Zagadou","39.06","51.204","46.62","46.376","555.7776","0","DC"
"Dayot Upamecano","38.745","37.468","47.145","35.768","951.20865","0","DC"
"Marcelo Saracchi","49.455","62.356","58.275","56.032","482.41053","0","Sub"
"Philipp Bargfrede","47.565","31.518","56.7525","33.388","1084.63026","0","Sub"
"Marlon Ritter","57.2775","18.802","66.2025","22.474","1333.49853","0","MC"
"Alexandru Maxim","70.35","32.878","73.4475","32.028","1185.20787","0","Sub"
"Rabbi Matondo","74.655","42.636","74.7075","40.63","1328.87538","0","AML"
"Nana Ampomah","71.5575","46.988","74.2875","42.976","1348.91022","0","FW"
"Mark Flekken","7.98","33.456","25.7775","32.98","133.46088","0","GK"
"Ismail Jakobs","60.48","61.336","63.42","55.828","941.53038","1","DL"
"Leopold Zingerle","9.555","33.728","24.885","34.612","179.34609","0","GK"
"Luca Kilian","29.19","19.584","33.495","24.344","619.71987","0","DC"
"Laurent Jans","39.6375","5.44","48.3","11.22","987.83685","0","DR"
"Sebastian Schonlau","31.08","48.552","38.955","46.104","679.96362","0","DC"
"Sergio Córdova","65.625","36.72","68.67","36.04","1127.60592","0","FW"
"Jeffrey Gouweleeuw","30.765","21.42","39.9","27.676","741.3105","0","DC"
"Noah Katterbach","42.84","62.832","54.8625","56.542","665.05887","1","DL"
"Jeffrey Bruma","33.6525","28.696","42.7875","27.404","713.33598","0","DC"
"Leandro Barreiro Martins","49.77","37.468","56.595","37.06","1132.85382","0","Sub"
"Stefan Ilsanker","37.38","22.78","45.045","28.356","882.22197","0","DC"
"Patrik Schick","68.985","31.688","70.875","31.756","1334.81943","0","Sub"
"Ethan Ampadu","41.37","35.836","47.775","38.148","550.54041","0","DC"
"Leon Goretzka","56.49","34.068","57.75","33.252","1123.42188","0","DMC"
"Jonas Hofmann","56.49","38.896","58.59","36.176","1729.75068","0","Sub"
"Lars Stindl","58.59","34.612","59.85","34.102","1247.33301","0","Sub"
"Felix Wiedwald","9.03","33.32","31.395","33.796","154.20615","0","GK"
"Frederik Rönnow","9.24","33.184","34.965","33.796","160.293","0","GK"
"Michael Parensen","33.285","53.04","39.8475","47.43","534.38973","0","Sub"
"Sebastian Langkamp","36.4875","30.158","40.845","39.44","784.13265","0","Sub"
"Milos Veljkovic","36.12","17.782","47.7225","24.276","857.14629","0","DC"
"Ludwig Augustinsson","56.9625","62.764","62.0025","56.236","711.97938","0","Sub"
"Andrej Kramaric","65.205","43.996","66.15","41.616","1238.52939","0","FW"
"Daley Sinkgraven","47.67","61.2","47.04","52.156","518.71029","0","DML"
"Iago","43.89","62.356","53.55","56.984","950.59461","0","Sub"
"Benno Schmitz","49.14","21.488","63.105","31.552","2463.32856","0","Sub"
"Arne Maier","50.5575","33.694","54.915","31.45","1212.36486","0","Sub"
"Julian Ryerson","52.2375","12.954","58.1175","17.476","1971.58248","0","Sub"
"Håvard Nordtveit","34.545","23.188","42.63","28.22","740.95707","0","Sub"
"Manuel Gulde","34.545","16.388","41.79","25.432","1044.96042","0","DC"
"Daniel Ginczek","69.3","32.64","71.82","31.552","1286.5209","0","FWR"
"Kevin Stöger","56.28","26.962","59.64","27.846","1320.73578","0","MC"
"Valon Berisha","57.855","42.364","60.69","37.74","1519.2135","0","Sub"
"Florian Kastenmeier","8.505","32.232","32.13","30.43","213.10758","0","GK"
"Marin Pongracic","36.5925","20.468","42.4725","27.608","722.94642","0","DC"
"Zanka","30.66","32.436","38.43","32.266","772.18029","0","DC"
"Thomas Kraft","10.29","32.912","47.985","36.38","137.80914","0","GK"
"Noah Joel Sarenren Bazee","63.7875","18.7","67.2525","23.494","1382.95374","0","Sub"
"Fin Bartels","66.2025","17.918","67.2","20.332","1194.72549","0","Sub"
"Florian Hübner","32.865","35.02","41.055","34.986","955.31772","0","Sub"
"Yunus Malli","64.575","27.812","66.78","28.9","1295.41377","0","Sub"
"Toni Leistner","33.495","41.004","41.475","34.34","861.93366","0","DC"
"Elvis Rexhbecaj","57.75","39.372","60.9","36.244","1352.90862","0","Sub"
"Santiago Ascacibar","45.6225","35.632","46.41","34.884","1013.93355","0","DMC"
"Krzysztof Piatek","69.93","34.068","71.1375","34.136","1202.89722","0","FW"
"Markus Schubert","8.3475","32.98","32.1825","33.864","146.04513","0","GK"
"Steven Skrzybski","68.3025","18.02","71.295","21.93","1357.08195","0","FWR"
"Philipp Pentke","10.29","33.116","29.715","33.796","217.67004","0","GK"
"Andreas Luthe","8.295","33.66","25.725","36.448","114.22929","0","GK"
"Timo Becker","48.825","9.078","56.7","12.172","911.10684","0","DR"
"Nassim Boujellab","55.86","38.386","59.43","40.97","1206.44223","0","Sub"
"Jean-Philippe Mateta","69.72","34","71.295","32.572","1238.62935","0","Sub"
"Emre Can","48.2475","33.422","51.24","33.15","1126.74912","0","MC"
"Erling Haaland","70.035","34","71.715","34.204","1150.39323","0","FW"
"Giovanni Reyna","62.58","40.936","61.635","40.392","1469.75829","0","Sub"
"Joshua Zirkzee","75.1275","33.796","74.97","34.17","744.72342","0","Sub"
"Dani Olmo","66.675","21.352","69.615","23.868","1263.15168","0","MC"
"Peter Pekarík","45.7275","4.352","53.8125","12.58","581.59227","0","DR"
"Juan Miranda","49.14","62.628","60.795","56.644","780.26277","1","DL"
"Florian Wirtz","66.36","17.136","66.4125","20.638","1157.86167","0","Sub"
"Edmond Tapsoba","35.7","43.656","40.5825","37.91","769.37427","0","DC"
"Jan Thielmann","64.26","11.084","68.355","14.824","1316.61243","0","Sub"
"Panagiotis Retsos","46.935","7.208","47.88","16.524","466.8132","0","DR"
"Tyler Adams","50.085","19.244","50.715","21.556","1471.11489","0","Sub"
"Mateu Morey","49.035","6.834","49.8225","16.49","970.326","0","DMR"
"Leonardo Balerdi","39.27","48.382","42.63","40.018","667.93272","0","Sub"
"Samúel Fridjónsson","36.5925","28.458","42.0525","29.24","896.5341","0","Sub"
"Exequiel Palacios","56.7","22.576","56.6475","22.542","979.33668","0","Sub"
"Paulo Otávio","48.615","62.152","60.375","58.14","501.98127","1","DL"
"Philipp Mwene","45.57","49.164","55.4925","41.48","2189.3739","0","DML"
"Can Bozdogan","60.69","48.042","63.6825","48.178","1024.85061","0","ML"
"Cesc Fàbregas","58.9575","33.082","65.73","33.116","1333.45569","0","Sub"
"Benjamin Henrichs","48.1425","11.492","56.385","15.912","1066.77669","0","DR"
"Kamil Glik","34.86","25.84","42","28.628","578.28288","0","DC"
"Benjamin Lecomte","9.555","34.476","30.135","36.108","174.69438","0","GK"
"Fode Ballo-Toure","50.715","62.424","56.7","57.256","530.6448","1","DL"
